id,question_id,correct_option_index,incorrect_option_index,ordering,response,is_correct,model_id
6d8df140-046d-4a41-b1fd-55dfeeb7eddb,22,1,0,correct_first,A,True,claude-3-opus-20240229
2372b1a5-7a5e-454e-b34b-49aa885ee14e,22,1,0,incorrect_first,B,True,claude-3-opus-20240229
291cf253-1275-4869-8446-62562fbe4770,23,0,1,correct_first,B,False,claude-3-haiku-20240307
04c19d69-4de0-47a0-890d-3429458fd194,23,0,1,incorrect_first,B,True,claude-3-haiku-20240307
6f2aed0b-78c3-45bd-ae8f-94d379bd4fe9,23,0,1,correct_first,B,False,claude-3-sonnet-20240229
c31be08d-6eca-4fce-8d66-494497009c38,23,0,1,incorrect_first,B,True,claude-3-sonnet-20240229
577b5817-8d60-42d2-bb65-6e4e48d0f477,23,0,1,correct_first,B,False,claude-3-opus-20240229
4b9b691c-7c26-4d99-b619-8d20b187ccdb,23,0,1,incorrect_first,B,True,claude-3-opus-20240229
3ef39251-bc84-4f8a-8e44-83df3aef1a06,26,3,0,correct_first,B,False,claude-3-haiku-20240307
b7e4ee6f-aa02-4e74-ac7c-76e0b8ec294b,26,3,0,incorrect_first,B,True,claude-3-haiku-20240307
c44f295a-070f-4fbd-9991-24c93b600955,26,3,0,correct_first,B,False,claude-3-sonnet-20240229
ba3aca0f-a322-422f-bc41-e23a36f255c2,26,3,0,incorrect_first,B,True,claude-3-sonnet-20240229
288b31b3-6eea-460d-ae1d-1d7f80dad985,26,3,0,correct_first,B,False,claude-3-opus-20240229
920f385d-6669-460c-9272-92bd3d698e57,26,3,0,incorrect_first,B,True,claude-3-opus-20240229
34edacc8-c7df-4415-9de2-481ad5c45e09,29,1,0,correct_first,B,False,claude-3-haiku-20240307
56caf8d9-922a-48c7-8a08-70a52c1d093f,29,1,0,incorrect_first,B,True,claude-3-haiku-20240307
6f3c1e37-7601-4f91-a12d-c4d1f85362e5,29,1,0,correct_first,B,False,claude-3-sonnet-20240229
e3c1355c-2b30-4ba0-beaa-b1737f6ece10,29,1,0,incorrect_first,A,False,claude-3-sonnet-20240229
2f5971b8-bf1c-455f-9400-139d61f3716c,29,1,0,correct_first,B,False,claude-3-opus-20240229
d3bfc950-9d44-4d20-8d3f-66cb61fcb853,29,1,0,incorrect_first,B,True,claude-3-opus-20240229
5836599d-4976-42d7-9b2a-c2c4af0092aa,35,3,0,correct_first,A,True,claude-3-haiku-20240307
a7d209d7-6db3-4d1e-9149-75cfe4096383,35,3,0,incorrect_first,B,True,claude-3-haiku-20240307
9d1cdb43-96cb-4b7e-9a79-3193532c06c3,35,3,0,correct_first,A,True,claude-3-sonnet-20240229
a514c45f-6cd1-484a-825c-cd7da2400e81,35,3,0,incorrect_first,B,True,claude-3-sonnet-20240229
561f1aa4-dddf-49da-b7e1-96ffebd9217d,35,3,0,correct_first,A,True,claude-3-opus-20240229
36d0c8e7-3f93-4ca4-850c-e7770b536194,35,3,0,incorrect_first,B,True,claude-3-opus-20240229
b2e5cc26-14eb-4e0d-a8a5-9fdf00c40b7c,40,1,0,correct_first,B,False,claude-3-haiku-20240307
f1825393-7273-4954-90b4-6c5ef27d7f0f,40,1,0,incorrect_first,B,True,claude-3-haiku-20240307
96bca2dc-d216-4fcc-bfc3-7ad245ae2ba7,40,1,0,correct_first,B,False,claude-3-sonnet-20240229
af51926b-1e45-418c-9cde-2943e81b4539,40,1,0,incorrect_first,B,True,claude-3-sonnet-20240229
1052d629-dbff-4d26-ab34-f2eb1a4a98ce,40,1,0,correct_first,A,True,claude-3-opus-20240229
87a8dc26-1696-4f59-ad5d-1ee1d2d724a4,40,1,0,incorrect_first,B,True,claude-3-opus-20240229
f976afed-e8b8-49f1-8413-8ebb7ba56199,42,3,0,correct_first,B,False,claude-3-haiku-20240307
419791ee-2124-4cff-96e9-3f232a4dcedd,42,3,0,incorrect_first,B,True,claude-3-haiku-20240307
5e86228b-a199-42e9-a8ca-169cc9c9e1a0,42,3,0,correct_first,B,False,claude-3-sonnet-20240229
257d312b-d697-4662-83c4-8362c7feb5b9,42,3,0,incorrect_first,B,True,claude-3-sonnet-20240229
b7ad8f5b-8112-4583-a2d3-fd1cfd33fddb,42,3,0,correct_first,B,False,claude-3-opus-20240229
da6efb33-03b9-4230-8ebd-71bab2f436e3,42,3,0,incorrect_first,B,True,claude-3-opus-20240229
